text,label
"""""Demo ditengarai memang tidak alami tidak murni pakai deadline segala 17+8 kita yang 17+8+45 aja proklamasi sumpah pemuda 28+10+28 dari dulu aja gak repotWoy termul antek fufufafa.Kalian rusuh demo dibayar 20 juta rupiah perorang pantas maksain perusuh penjarahan antek asing! https://t.co/HN1AHvYNb9""""",negative
"""""Hal kocak yg keluarga gue ucapin pas demo dan penjarahan kmrn. Yuk kamu jngn ikut demo bnyk oknum soalnya Yuk kamu jngn ikut ngejarah kalo di ajak jangan mau apalagi ngejarah toko cina soalnya kakek kita cina jd jangan ya Wkwkw yg mau ngejarah siape si akh""""",negative
"""""bunuh diri itu sama kyk melakukan penjarahan saat demo... jangan dilakuin walau mungkin manusia lain bisa memaklumi... yang saya tau hukum bunuh diri cukup tegas dalam agama.""""",positive
"""""Polres Jepara menetapkan seorang mahasiswa Universitas Negeri Semarang (Unnes) SU bersama 9 orang lainnya menjadi tersangka penjarahan saat terjadi aksi demonstrasi berbuntut anarkis yakni pembakaran dan penjarahan Gedung DPRD Jepara. https://t.co/zN6hgn80hn""""",neutral
"""""beneran anjir sejak penjarahan rumah sahroni verstappen lgsg ngacir""""",negative
"""""@narkosun kok dedi sitorus dan ibu2 joget kerudung merah aman dari penjarahan? karena apa?? cobaaaa jawabbbb pemirsa""""",negative
"""""Aku kok curiga sama Mpok Salsa yang tetiba muncul di sekitar tgl 25 Agustus. Semua nama yang disebut di Sosmed jadi target penjarahan. Jejangan ini jaringan chaos. Dimulai 28 agt malam ya?""""",negative
"""""@mymj01_ ngga anj b aja aku mah. itu bermula krna aku gemes liat dia duduk sendiri nggak dibolehin masuk alfa sama maknya. takut ada insiden penjarahan katanya ngakak sumpah jdi aku temeninlah sambil ngopi. lah dia oonw nyeletuk kak kakak tomboy ya? tpi cantik kak gitu cok ah mboh!""""",neutral
"""""Mafindo melaporkan video Hoaks yang beredar di medsos Contohnya adalah video kerusuhan di Baghdad diklaim sebagai kerusuhan dan Penjarahan di Jakarta Prasasti Center for Policy Studies menaksir kerugian infrastruktur akibat demo mencapai Rp 1 2T . . . Seskab Teddy : Presiden https://t.co/aYh1KoMbQR""""",neutral
"""""@rachlannashidik Banyak juga polisi yg luka parah kasihan mereka Krn mereka MC biasa ada kekurangan nya. Yg paling penting adalah menangkap semua master mind yg mengajak massa melakukan demo anarkis penjarahan di rumah Bu Sri Mulyani merusak fasilitas umum melempar aparat dgn bom molotov.""""",positive
"""""Wwkwkk Sri Mulyani ngambeuk rumahnya dijarah 2 kali mo mundur tapi gak di acc sama wowo @prabowo Parah nih Menhan ma Ibu negara dimintai pertolongan oleh SMI sebelum terjadi penjarahan eh cuma dikasih sekitar 20'an anggota TNI untuk pengamanan Curiga jan² emang bener https://t.co/Tfx9iJjuTq""""",negative
"""""32 barang hasil penjarahan di rumah Ahmad Sahroni dikembalikan warga https://t.co/cwURwnTYww""""",positive
"""""Penjarahan rumah Ahmad Sahroni pelaku bisa ditemukan dan barang bisa kembali. Penjarahan museum di Kediri barang tidak kembali. Sakti wes luwih percoyo barang mahal daripada barang mistis aku saiki wes wes """"",neutral
"""""Kasian orang orang yang ditarget rumahnya dijarah. Memang ada perilaku yang buruk tetapi penjarahan kerumahnya ada yang mengarahkan. Salsa erwina andil besar memicu kemarahan dan penjarahan. Alhamdullilah mau jarah ke ketua DPR gagal sudah terbaca dan banyak yang sadar tertipu.""""",negative
"""""dari penjarahan rumah pejabat kemaren gak ada temuan buku meanwhile bapak ini . . . . make sense kalau pemikiran beliau bisa seruwet itu karena banyak informasi makin banyak prespektif beliau juga mengusai banyak bahasa asing pak bangun pak tolongin negara ini https://t.co/MyqzXFvEUj""""",positive
"""""Akun muslim pada ingatin penjarahan ga boleh btw halah dikambinghitamkan lagi ini""""",negative
"""""Penjarahan kemaren itu yg beneran buat memperingatkan sebenernya cm 1 yg lain cuma untuk mengkaburkan Kalo iya berarti srimul dong? Apakah berarti menhan vs srimul?""""",negative
"""""Celios sesalkan penjarahan rumah Sri Mulyani pengawalan menkeu dinilai harus setara wapres https://t.co/OEHP51gp7O""""",neutral
"""""@RevolusOne Berdasarkan analisis sumber beragam seperti Wikipedia Guardian Reuters dan CNN demonstrasi di Indonesia Agustus-September 2025 dipicu tunjangan DPR tinggi dan kematian sopir ojol Affan Kurniawan. Kerusuhan termasuk penjarahan rumah pejabat seperti Sri Mulyani. Tuduhan dalang""""",neutral
"""""Hey @grok menurutmu siapa aktor yang menunggangi aksi Demonstrasi di Indonesia dengan kerusuhan dan penjarahan yang terjadi?""""",neutral
"""""Ya Tolol nyatanya dinaikkan anggaran Polri rmh dia jg ga aman dr penjarahan kmrn""""",negative
"""""@dahlan_muhidin Oke Gus. Belakangan ini sedang mendokumentasikan geger peristiwa penjarahan museum di Kediri. Belum sampai 100 sih hehe""""",neutral
"""""@hasyimmah Krn anggota pdip.. tdk spt amggota dpr lain yg disorot rumah ibu ini terbebas dari penjarahan dan aman dari pemecatan partainya.. kenapa?""""",neutral
"""""Perlu ada dialog komunitas-polisi yang lebih intensif untuk mengidentifikasi dan mengatasi akar masalah sosial yang mungkin memicu penjarahan. Membangun kepercayaan adalah kunci mencegah insiden serupa di masa depan.""""",positive
"""""Aksi penjarahan awal terlepas dari pengembalian sukarela menyoroti kerentanan keamanan dan potensi frustrasi sosial di masyarakat. Penting untuk memahami akar penyebab insiden semacam ini agar tidak terulang.""""",positive
"""""Warga Kembalikan 32 Barang Milik Anggota DPR Ahmad Sahroni yang Sempat Dijarah. Aksi sukarela ini menjadi sorotan dalam kasus penjarahan. https://t.co/Qqh8h2jnWu""""",positive
"""""Bu SMI Kalau saya jadi Ibu emang udah resign aja bu. Udah denger ulasan Tempo saya. Ibu minta bantuan ke Menkopolhukam Seskab setelah dapet info intelejen kalau ada rencana penjarahan tapi tidak ada arahan tindakan tegas dari rekan menteri. Udahlah Bu kerja di IMF lagi aja""""",negative
"""""@tham878 Gpp sih kalau memang pelaku anarkis yg merusak fasilitas umum penjarahan dan potensi membahayakan nyawa orang lain juga keamanan negara memang kudu tegas.""""",positive
"""""Bagaimana mungkin rumah pejabat Menteri Keuangan dengan pengamanan yang ada bisa terjadi penjarahan pasca demo usai ? #SuaraKonstituen https://t.co/UCBkMzlGJ2""""",negative
"""""Bupati Kediri Hanindhito Himawan Pramana atau Mas Dhito menegaskan batas waktu pengembalian barang hasil penjarahan saat aksi massa Sabtu (30/8/2025) berakhir pada Sabtu (6/9/2025). https://t.co/O2j4ezzb37""""",neutral
"""""Video Jumlah Tersangka Penjarahan Rumah Uya Kuya Bertambah Jadi 12 Orang https://t.co/hmW0treOky""""",neutral
"""""@democrazymedia 1) Yang 'bermain' menunggangi aksi2 unjuk rasa menjadi kerusuhan/penjarahan yg TERORGANISIR pasti elemen2 dr Institusi2. 2) Badan2 Intelligence pasti sdh tahu sebelum &amp"";"" pada saat kejadian tetapi TDK LAPORKAN ke Prbw. MENGAPA? 3) Elemen2 di Lingkaran Prbw punya 'Agenda'?""""",negative
"""""Penjarahan yang terjadi di rumah Ahmad Sahroni beberapa waktu lalu menimbulkan aksi intimidasi ke juru kamera dan reporter insert. https://t.co/kipHQguQVe""""",negative
"""""@ARSIPAJA Sementara ada penjarahan pun juga diam2 saja penjarahan di rumah pejabat negara """"",negative
"""""@dawiguna @mas_veel Yg bilang penjarahan sbg bentuk dr pelaksanaan UU Perampasan Aset adlh luapan kekecewaaan rakyat. Tp apakah dibenarkan? Tdk krn penjarahan itu adlh kriminal. Org marah tdhp tunjangan DPR yg tinggi krn alsan yg disampaikan tdk wajar...sewa rmh 3jt/hari. Mknya rakyat marah.""""",positive
"""""Video Jumlah Tersangka Penjarahan Rumah Uya Kuya Bertambah Jadi 12 Orang https://t.co/7rnkLVRxId""""",neutral
"""""Kucing-kucing milik Uya Kuya ikut jadi korban penjarahan. https://t.co/JTKEtra9wZ""""",neutral
"""""@BennyHarmanID Itulah mengapa penegakkan hukum di negeri ini makin runtuh siapa bersalah apalagi mengakibatkan korban meninggal harus ada pertanggungjawabannya Terlebih Dalang Kerusuhan yg seharusnya sdh bisa diketahui dari BB Video2 Ancaman thd Presiden&amp"";Provokator2 Pembakaran &amp;"" Penjarahan.""""",negative
"""""@tvOneNews 1) Sahroni tahu ada Hidden Actors yg bukan kaleng2 dibalik Penjarahan rumahnya. 2) Dia sdh familiar dgn 'permainan' macam ini.""""",neutral
"""""Aneh bin ajaib soal terjadinya penjarahan dirumah menteri keuangan Sri Mulyani? . . . . Gudang Garam PACAR SAYA Freeport Marceng AS Trencin Witan Voucher Bonus. https://t.co/GS7FWxFVDq""""",negative
"""""@yaniarsim @RajaJuliAntoni Kemana yg kmrin2 teriak kencang saat penjarahan rumah Sahroni??? Kok pada diam saat SDA negara di jarah??? #PejabatSampah""""",negative
"""""Lah Rakyat Gimana.. Bukan Rakyat yg mulai penjarahan ini.. ini ada yg sangat ahli dan taktis... melakukan penjarahan waktu itu""""",negative
"""""@mas_veel Dari pertama sikap saya tegas anti korupsi dan anti intoleransi Perilaku sok kaya dan menghina Sahroni jelas melukai hati rakyat Hanya penjarahan rumah Sahroni dll itu juga merupakan suatu bentuk korupsi sekaligus intoleransi dan saya menolak komunisme dlm wujud apapun""""",positive
"""""@tempodotco Demonstrasi yg berkembang menjadi kerusuhan (penjarahan dan pembakaran) yang menjadi faktor utama turunnya IHSG dan melemahnya nilai tukar Rp.. BUKAN KARENA ISU SRI MULYANI MUNDUR. Kita tidak percaya dia mundur. Meskipun dia minta mundur pasti akan di tolak.""""",neutral
"""""Orang2 DPR yg ngejek2in rakyat juga akhirnya ketauan punya harta yg ga kira2 banyaknya stlh dijarah rumahnya. Kalo tau masalah ketimpangan upah yg gak layak ini udah masuk akal. Penjarahan emang jelek cuman ini menunjukkan bahwa orang2 pada gak punya sense matematika yg jalan.""""",negative
"""""@yoboseho Menurut berita terkini keberadaan Ahmad Sahroni masih belum diketahui setelah insiden penjarahan rumahnya di Tanjung Priok. Partai NasDem bilang mereka belum dapat info lokasinya. Ada rumor kabur ke luar negeri tapi belum dikonfirmasi. Kamu punya teori?""""",neutral
"""""@masarukasu @BattleboyA239 411 juga sempat ada aksi penjarahan ke etnis Tionghua. Mereka (kaum 212) belajar dari sana dengan cara pulang sebelum malam jadi rusuh2 habis demo bukan salah pendemo.""""",positive
"""""@jonmamau @neVerAl0nely__ Elu tau ngga para pelaku kerusuhan dan penjarahan yg ketangkep polisi itu mayoritas anak2 SMA/SMK bahkan banyak yg masih SMP""""",neutral
"""""@johchr_29 @txtdrjkt Kita gak tau itu yg bakar beneran pendemo atau kelompok suruhan. Karna aksi kemarin fix ditunggangi politik. Jadi bisa bener bisa salah. . Yg kita bisa lihat pasti adalah siapa orang yg paling diuntungkan saat pembakaran dan penjarahan ini terus pola terciptanya demo ini. https://t.co/cjWvTARRfk""""",negative
"""""lebih gampang misi penjarahan rumah sahroni njir daripada ketemu danuel alveric""""",negative
"""""Aksi penjarahan di masa genting bukan hanya soal keamanan fisik tapi juga soal kepercayaan publik. Jenderal Tandyo Budi Revita menegaskan bahwa TNI siap membantu kapan pun selama sesuai dengan prosedur hukum. #TNITaatKonstitusi #NKRI #TNIProfesional #tnisetia #tnicintadamai https://t.co/rG1D7lXRdh""""",positive
"""""@mikosptro @BudiBukanIntel Betul yg jelas tidak mungkin masyarakat sekitar yg melakukan. Tidak pernah belajar dari penjarahan 1998""""",negative
"""""1 parjo admin (beberapa) grup wa 1 ibu2 sipil yg terkait dgn parjo jg jd kompor 1 sipil yg bilangnya disuruh anak parjo Ini parjo kalah telak ama parcok asli Belum hoodie putih n kode2 n drone di penjarahan Udah kalah gini msh ada yg mau ngajuin darurat militer""""",negative
"""""@abdimohamadeko1 @somexthread Berdasarkan pencarian berita terkini ada klaim viral dari video yang beredar menunjukkan senjata laras panjang ditemukan saat penjarahan rumah Ahmad Sahroni pada 30 Agustus 2025. Namun ini belum dikonfirmasi resmi dan polisi sedang menyelidiki keberadaan senjata api tersebut.""""",neutral
"""""@somexthread @grok benarkah di rumah Sahroni di temukan senjata Laras panjang atau senapan serbu waktu penjarahan di rumahnya?""""",neutral
"""""@e100ss Kalau sudah tahu terlatih dan terorganisaai berarti aparat Intelijen gak fungsi dong karena massa berhasil melakukan kerusuhan pembakaran dan penjarahan. Terus apa kerja Intelijen ?""""",negative
"""""Polisi Tetapkan 12 Tersangka Penjarahan Rumah Uya Kuya https://t.co/iJizbbjpme""""",neutral
"""""Polda Jawa Timur (Jatim) mengamankan dan menetapkan sembilan orang sebagai tersangka terkait kasus perusakan pembakaran hingga penjarahan Gedung Negara Grahadi Surabaya. Delapan dari sembilan pelaku masih di bawah umur. https://t.co/fM7U8IqDY1""""",neutral
"""""@adepedia 20 personel apa gak sanggup nahan penjarah? Kayaknya yg di SMI waktu awal2 mulai penjarahan massanya gak sebanyak di syahRONI""""",negative
"""""Kata Tempo SMI udah minta mundur dua kali terutama masalah penjarahan rumahnya. Pertama minggu pagi (31/8) di Hambalang. Kedua sore harinya saat pertemuan informal dengan Prabowo &amp"";"" Airlangga. Sore itu ada pertemuan dengan ketua parpol.""""",neutral
"""""Kediaman Uya Kuya dijarah saat demonstrasi di Duren Sawit. Polisi menetapkan 12 tersangka sementara Uya memilih berdamai dengan salah satu pelaku. https://t.co/f2N9K8oloo""""",positive
"""""Kasus penjarahan ini menyoroti kerentanan hukum dan ketertiban di beberapa wilayah terutama ketika massa berkumpul. Ini menunjukkan perlunya peningkatan edukasi hukum dan penegakan tegas agar masyarakat tidak mudah terprovokasi dan bertindak anarkis.""""",positive
"""""Para tersangka memiliki peran berbeda-beda mulai dari provokator aksi pelaku penjarahan barang-barang hingga penyerangan terhadap petugas kepolisian yang datang ke lokasi kejadian.""""",neutral
"""""Polisi Metro Jakarta Timur telah menetapkan 12 tersangka dalam kasus penjarahan rumah anggota DPR Uya Kuya di Pondok Bambu Duren Sawit. Kasus ini menarik perhatian publik luas. https://t.co/HYZA23jxUu""""",positive
"""""Setiap warga negara berhak menyuarakan pendapatnya. Namun kebebasan berpendapat harus dilakukan secara damai tertib serta jangan terprovokasi untuk melakukan perusakan dan penjarahan. #SalingJagaIndonesia https://t.co/ydJyYQfe2l""""",positive
"""""Setiap warga negara berhak menyuarakan pendapatnya. Namun kebebasan berpendapat harus dilakukan secara damai tertib serta jangan terprovokasi untuk melakukan perusakan dan penjarahan. #SalingJagaIndonesia https://t.co/63wjRMYJmO""""",positive
"""""@democrazymedia Demo dan penjarahan kmarin salah almt harusnya ke ini orang""""",negative
"""""@bakuldimsum_ Ada kak 19 jt lowongan buzzer dan provokator penjarahan""""",negative
"""""@CurutMincu37043 kalau temen sendiri biasanya tidak kelihatan dan Denial wkwk. Padahal yang dimasalahin itu demo anarkis dan penjarahan itu. Tapi lihat saja sekarang kelompoknya Ferry Irwandi merasa paling berjasa di demo DPR kemarin. Bahkan merasa paling berhak bikin tuntutan tapi nyalahin""""",negative
"""""Polres Jaktim tetapkan 12 tersangka kasus penjarahan rumah Uya Kuya di Pondok Bambu. Kapolres: ada provokator pelaku penjarahan &amp"";"" penyerang petugas. Polisi masih buru pelaku lain. #UyaKuya #Polri #Jakarta https://t.co/Iny4fdtEKN""""",neutral
"""""Polisi menetapkan 12 tersangka dalam kasus penjarahan rumah politikus PAN Uya Kuya. Penjarahan terjadi di Duren Sawit Jakarta Timur. https://t.co/6rIlQO1Ihi""""",neutral
"""""@tvOneNews Penjarahan harus di tindak tegas melalui hukum yg berlaku biar efek jera kepada siapapun yg melakukan kedepannya.""""",positive
"""""Gaes please nonton ini dan sebarkan. Kerusuhan dan penjarahan Agustus lalu itu bener2 sistematis. Yes kita udah menduga ke arah sana sejak awal. Tapi info2 dan analisis dr Tempo lebih tajam dan bikin gue makin hah heh hoh.""""",negative
"""""@si4riNew @bulepotanx Presiden Prabowo punya rekam jejak buruk selama tragedi 1998. Beliau turut andil dalam eskalasi kerusuhan dan penjarahan etnis Chindo. Orang China daratan menganggap keturunan China diaspora sebagai saudara mereka makanya sampe sekarang mereka masih gak terima.""""",negative
"""""Kasus Penjarahan Rumah Uya Kuya Polisi Tetapkan 12 Tersangka https://t.co/FEXfihEiR3 https://t.co/K3ZO7tWZnb""""",neutral
"""""Skrg malah cosplay penjarahan di rmhnya..Ya Gustiii itu makin ngeledek. Bnr2 udh mati hati nuraninya. Inget gaes 2029 JGN PILIH DARI ARTIS !!!""""",negative
"""""@neVerAl0nely__ bisa kau buktikan ini video setelah penjarahan?""""",neutral
"""""12 Orang Jadi Tersangka Penjarahan di Rumah Uya Kuya https://t.co/LE8PYFW505""""",neutral
"""""Tambah Lagi! 12 Orang Kini jadi Tersangka Penjarahan Rumah Uya Kuya https://t.co/pGkvN0cusc""""",neutral
"""""Perusakan Penjarahan atau Pembakaran bukan hasil provokasi tapi hasil manipulasi irrasional yang diorkestrasi mereka yang punya kekuatan untuk memanfaatkannya! https://t.co/ltG8rnvt8A""""",negative
"""""Pada dasarnya hasutan untuk bertindak irrasional seperti pembakaran penjarahan atau perusakan adalah tindakan demagogis bukan provokasi. https://t.co/DtabvaVnsH""""",positive
"""""Tersangka Kasus Penjarahan Rumah Uya Kuya Jadi 12 Orang https://t.co/A90my0GT8A""""",neutral
"""""@judiciYASS penjarahan di rumah sahroni""""",neutral
"""""Kerusuhan penjarahan dan kabar mundurnya Menteri Keuangan Sri Mulyani membuat pelaku pasar keuangan resah. Indeks Harga Saham Gabungan dan kurs rupiah sempat anjlok. Menteri Koordinator Perekonomian Airlangga Hartarto mesti turun ke lantai bursa untuk menenangkan pasar. https://t.co/ukwEnTmJ8b""""",neutral
"""""Isu Sri Mulyani Mundur Meresahkan Pelaku Pasar Kerusuhan penjarahan dan kabar mundurnya Menteri Keuangan Sri Mulyani membuat pelaku pasar keuangan resah. Indeks Harga Saham Gabungan dan kurs rupiah sempat anjlok. Menteri Koordinator Perekonomian Airlangga Hartarto mesti turun https://t.co/MDE9jmzOAG""""",neutral
"""""Tersangka Kasus Penjarahan Rumah Uya Kuya Bertambah Jadi 12 Orang https://t.co/ho87qrWJY6""""",neutral
"""""@PreciosaKanti Kok kmrn lolos dr penjarahan ya nih org""""",negative
"""""Pihak kepolisian memberikan kabar terkini perihal kasus penjarahan rumah Uya Kuya. Disebutkan ada 12 orang ditetapkan sebagai tersangka. https://t.co/p3MGD46Hwz""""",neutral
"""""Polres Metro Jakarta Timur menetapkan 12 orang sebagai tersangka dalam kasus penjarahan rumah Anggota Komisi IX DPR (nonaktif) Surya Utama atau Uya Kuya di kawasan Pondok Bambu Duren Sawit Jakarta Timur Sabtu (30/8) malam. 12 orang yang sudah kami tetapkan sebagai https://t.co/kXslZmERvV""""",neutral
"""""@txtdrimedia Kmrn kok lolos dr penjarahan""""",negative
"""""Penjarahan di Rumah Uya Kuya 12 Orang jadi Tersangka https://t.co/G9q5rcvKwo""""",neutral
"""""Taktik Kuno Lagian kalian kok bisa cari Kambing Hitam atas penjarahan sementara Bandar Judol meuni hararese? Cuma masang Spanduk Stop Judi Online/Offline ? Jangan2 orang2an lo lagi yak? Salam Presisi""""",negative
"""""Polisi Tetapkan 12 Tersangka dalam Kasus Penjarahan Rumah Uya Kuya #Polisi #Tetapkan #Tersangka #Kasus #Penjarahan #Rumah #UyaKuya #DemoBuruh #DemoMassa #Berita #Info https://t.co/9HCYroqgvr""""",neutral
"""""'Black mamba' viral dikaitkan hoax temuan penjarahan warga di rumah politisi. Terlepas dari itu ini kata dr Boyke. https://t.co/pIl23FRRGU""""",neutral
"""""@milenialbantenz Fokus pada tuntutan jaga persatuan dan jangan sampai ada penjarahan di lingkungan sekitar""""",positive
"""""Penjarahan tidak bisa dibenarkan https://t.co/iLQBsK8WJB""""",positive
"""""Polres Metro Jakarta Timur menetapkan 12 orang sebagai tersangka dalam kasus penjarahan rumah Anggota Komisi IX DPR (nonaktif) Surya Utama atau Uya Ku... https://t.co/6iHKv9rsBf""""",neutral
"""""Viral. Sri Mulyani Patah Hati Lukisan Bunga Dijarah #srimulyani #patahhati #penjarahan #quotes #fyp https://t.co/J26RtxOIZr""""",negative
"""""@savicali Ada dua kemungkinan maksud dari konseptor penjarahan: 1.Ingin menambah ekshalasi kerusuhan dengan penjarahan rumah personal pejabat. 2.Ingin mengalihkan sasaran kerusuhan dari kemarahan pada institusi menjadi kemarahan pada personal pejabat. Entah yang mana maksudnya?""""",neutral
"""""@kompascom Bukan penjarahan sih cuma pindahan diamankan dulu.""""",neutral
"""""Tapi ni bukan pembunohan besar-besaran dan penjarahan oleh pihak luarlah. Lebih ke perang saudara dan campur tangan Belanda. Sengaja menyelit. Hehe.""""",neutral
"""""Begitu brutalnya pembakaran halte dan fasilitas umum hingga penjarahan rumah sejumlah pejabat telah mengkambinghitamkan perjuangan emansipasi rakyat. https://t.co/36ACmdMCdz""""",negative
"""""Direktorat Tindak Pidana Siber Bareskrim Polri bersama Polda jajaran menangkap 7 orang tersangka yang diduga menyebarkan konten provokatif di media sosial terkait aksi penjarahan @CCICPolri https://t.co/LVsqYhGHe5""""",neutral
"""""Jadi siapa yg memotori penjarahan rumah Sahroni Eko Uya Kuya dan Sri Mulyani? Karena jawabannya membantu kita memahami apa yg sesungguhnya terjadi. Organik warga marah yg digerakkan Tiktok ato dimotori org-org terorganisir? Smntr ini yg ditangkep sptnya msh org sekitar.""""",negative
"""""@ARSIPAJA Sepertinya ibu ini tidak sadar bahwa dirinya selama ini telah lakukan penjarahan secara masal dan lebih besar besaran pada rakyat ini untuk biayai kelakuan konco konconya di pemerintahan dan parlemen..""""",negative
"""""@tanyarlfes penjarahan rumah fizi""""",neutral
"""""Direktorat Tindak Pidana Siber Bareskrim Polri bersama Polda jajaran menangkap 7 orang tersangka yang diduga menyebarkan konten provokatif di media sosial terkait aksi penjarahan #PolriPresisi #SalamPresisi #StaySafe #HindariProvokasi https://t.co/tAksoBo8zs""""",neutral
"""""Mari Jaga Kondusifitas Tolak Anarkis Penjarahan dan Mari kawal aspirasi dengan cara Damai dan Bermartabat https://t.co/hq6kMg3X5Y""""",positive
"""""@pjwoocue @txtdrimedia Laah mang mereka goblok siy.. Lah wong gak ada syarat S1. Saat penjarahan jg gak ada buku drmh2 mewah itu""""",negative
"""""@didilionrich Memang keputusan di DPR bersifat kolektif kolegial tapi @puanmaharani_ri yg termasuk yg se7. IRONIS MEMANG sebuah partai dg jargon partai WONG CILIK sikapnya gitu. Pdhal bisa saja dia tolak tt https://t.co/BOYtBmK3EP Walaupun demikian bukan artinya saya se7 penjarahan ya.""""",positive
"""""Keluarga Ahmad Sahroni tidak akan melaporkan ke polisi bagi warga yang mengembalikan barang-barang hasil jarahan mereka. Polres Metro Jakarta Utara telah melimpahkan pengungkapan kasus penjarahan rumah Ahmad Sahroni ke Polda Metro Jaya. Pihak keluarga juga menegaskan tidak https://t.co/PZ2ijKHUcz""""",positive
"""""https://t.co/xk7DyUOiz6 CILACAP - Penanganan kasus kerusuhan yang berujung perusakan penjarahan hingga pembakaran kantor DPRD Kabupaten Cilacap pada Sabtu 30 Agustus 2025 masih terus bergulir. Polresta Cilacap memastikan jumlah tersangka yang awalnya 12 orang kini meningkat https://t.co/R0CvcIWWDF""""",neutral
"""""Dugaan Sementara Netizen Tentang Keterlibatan Refly Harun Dalam Peristiwa Demonstrasi dan Penjarahan Di Rumah Ahmad Sahroni Eko Patrio Nafa Urbach dan Uya Kuya Menemui Titik Terang Setelah Delpedro Marhaen Diciduk.""""",negative
"""""Polda Jatim mengungkap penangkapan MT (19) warga Sampang yang melakukan penjarahan di Polsek Tegalsari Surabaya saat kerusuhan 29 31 Agustus 2025. @DivHumas_Polri #polriuntukmasyarakat #polripresisi #humaspolri #humaspoldajatim #poldajatim #polripeduli #unjukrasa #jawatimur https://t.co/ZRTqT3AlRQ""""",neutral
"""""Polda Jatim berhasil mengungkap rangkaian Aksi Anarkis yang terjadi di Kota Surabaya pada 29 31 Agustus 2025.Dari aksi pembakaran Gedung Negara Grahadi penjarahan di sejumlah lokasi hingga penganiayaan Aparat total 33 orang telah ditetapkan sebagai tersangka. @DivHumas_Polri https://t.co/vqcFkwy5nE""""",neutral
"""""Polres Metro Jakarta Utara Fasilitasi Penyerahan Barang Hasil Penjarahan di Rumah Ahmad Sahroni https://t.co/D7mZinRTVI""""",positive
"""""Sejumlah pejabat publik mengalami penjarahan di rumahnya. Usut punya usut akibat dari sikap dan pernyataannya yang memantik kemarahan masyarakat. Ikuti pembahasan selengkapnya di #PopNewsKompasTV pukul 09.30 WIB! ▶️https://t.co/rUTSoY7Gv2 https://t.co/m528t7bpjO""""",neutral
"""""GUA SAMA SEKALI GAK SUKA DAN GA SETUJU ADANYA PENJARAHAN Tapi gue demen doi ga nyaman dan ngerasa ga aman""""",negative
