teks,label
@andi_chotimah Kebetulan atau emang udah waktunya? Setelah demo rusuh yg kemarin rame banget sampai ada penjarahan segala dua tokoh langsung out: Hendrar Prihadi &amp; Budi Gunawan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Polisi Ungkap Ratusan Pelaku Aksi Anarkis di Jawa Timur Kerugian Capai Rp 256 Miliar SURABAYA Polda Jawa Timur merilis perkembangan penanganan kasus perusakan penjarahan dan pembakaran fasilitas umum yang terjadi dalam rangkaian aksi anarkis di sejumlah wilayah Jatim https://t.co/ltNxpFCDTK,netral
Publik mulai mikir: ini reshuffle beneran buat kabinet makin solid atau ada hubungannya sama chaos kemarin yg nyisain jejak penjarahan dan kegaduhan? Ada yg bilang terlalu kebetulan. Coincidence or not? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Padahal penjarahan yg sesungguhnya sudah dilakukan oleh pemerintah sendiri... https://t.co/6BGCZnRd5E,negatif
Jika kudeta dg skema kerusuhan dan penjarahan massal tdk berhasil maka akan ada plain B.,negatif
@andi_chotimah Budi Gunawan dan Hendrar Prihadi dicopot pasca demo rusuh plus penjarahan publik jadi bertanya PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Budi Gunawan juga out barengan sama Hendrar Prihadi. Timing-nya pasca demo rusuh+penjarahan kemarin... kebetulan doang atau ada benang merah? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
@andi_chotimah Demo rusuh + penjarahan kemarin malah makin bikin publik yakin. Reshuffle ini jawabannya: PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
@andi_chotimah Kerusuhan + penjarahan kemarin keliatan kaya terorganisir tapi kok aparat kayak slow response? Netizen jadi makin mikir apa ada benang merah sama partai tertentu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Dan gak cuma Mahfud yang gagal tayang . Budi Gunawan &amp; Hendi juga dicut dari posisi masing-masing. Semua kejadian ini numpuk pasca kerusuhan &amp; penjarahan misterius PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Sementara itu Hendrar Prihadi &amp; Budi Gunawan diputusin cabut. Publik langsung mikir kok pas banget setelah demo rusuh + penjarahan kemarin? Coincidence or what? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Apalagi bersamaan sama out-nya Hendrar &amp; Budi Gunawan. Kok timingnya bisa klop banget sama rusuh+penjarahan kemarin? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Belum lagi tiba-tiba Hendrar Prihadi out dari BPKP. Timingnya pas banget abis demo rusuh &amp; penjarahan PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Budi Gunawan copot pasca demo rusuh Agustus yang ada penjarahan di mana-mana. Publik pada curiga apa ini ada hubungan sama elemen tertentu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo rusuh itu bikin chaos penjarahan sampe bikin rakyat geram. Kecurigaan publik ke PDIP muncul lagi tapi ya kan cuma spekulasi doang. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Rusuh plus penjarahan? Publik bilang itu bukan aspirasi tapi akting gagal. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Hendrar Prihadi dicopot Budi Gunawan juga out. Publik jadi kepo kok barengan banget ya pasca demo rusuh+penjarahan kemarin. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Di sisi lain Hendrar Prihadi dicopot juga. Padahal baru aja rame soal demo rusuh sampe ada penjarahan. Kok waktunya barengan bikin makin banyak spekulasi. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Trus tiba-tiba Hendrar Prihadi out Budi Gunawan juga out timing-nya pas banget abis demo rusuh + penjarahan kemarin. Kebetulan kah? Atau publik emang punya feeling beda soal ini? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Rusuh plus penjarahan? Publik nyebutnya bukan demo tapi drama murahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo yang berubah jadi kekacauan dengan penjarahan lalu dua pejabat kunci out. Pertanyaan besar: bagaimana keterkaitan potensial dengan kelompok politik tertentu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Mengapa pemberhentian Budi Gunawan dan Hendrar Prihadi tepat setelah demo rusuh disertai penjarahan? Adakah benang merah dengan dinamika partai oposisi? Publik ingin tahu. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Demo chaos plus penjarahan lebih mirip sinetron murahan dibanding aksi nyata. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Apalagi ini kejadian setelah demo rusuh dan penjarahan aneh yang tiba-tiba aja muncul di beberapa kota. Rakyat mulai nanya: ini gerakan rakyat atau ada yang nyulut PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Terus pas banget abis demo rusuh &amp; penjarahan malah muncul kabar pencopotan Hendrar Prihadi &amp; Budi Gunawan. Publik jadi makin penasaran kok momennya selalu kebetulan ? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Budi Gunawan sebagai Menkopolkam diganti Hendrar Prihadi juga out dari LKPP. Publik pada bisik-bisik apa ada hubungannya sama demo rusuh yang berujung penjarahan itu? Kayaknya timingnya pas banget tapi ya cuma dugaan aja sih. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Di sisi lain Hendrar Prihadi dan Budi Gunawan diberhentikan tepat setelah demo chaos + penjarahan. Bukan nuduh tapi timingnya cinematic. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Pasca demo rusuh yang bikin chaos kemarin tiba-tiba Budi Gunawan dan Hendrar Prihadi kena copot. Demo yang sampe ada penjarahan itu emang bikin situasi panas. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Bukan cuma itu ada juga pemberhentian Hendrar Prihadi sama Budi Gunawan pasca demo chaos yg diiringi penjarahan. Publik auto mikir kok timingnya pas banget? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Belum lagi Budi Gunawan juga kena reshuffle setelah muncul demo rusuh yang bahkan disertai penjarahan. Banyak yang bilang momennya nyambung banget bikin makin banyak tanda tanya. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Demo rusuh plus penjarahan vibesnya kayak proyek tontonan murahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Di saat yang hampir bersamaan pemberhentian Hendrar Prihadi dan Budi Gunawan juga menambah tanda tanya. Apalagi waktunya berdekatan dengan demo rusuh dan penjarahan kemarin PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Bonus drama lain: Budi Gunawan dan Hendrar Prihadi ikut dicopot. Pas banget setelah demo rusuh plus penjarahan. Publik cuma geleng-geleng: kok timingnya pas banget ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Pasca demo rusuh yang berujung penjarahan sama kerusuhan Budi Gunawan sama Hendrar Prihadi langsung dicopot. Publik pada heboh nanya-nanya apa ada benang merah sama PDIP atau cuma kebetulan aja sih? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Pasca demo rusuh plus penjarahan ala pesta pora Budi Gunawan dan Hendrar Prihadi langsung dipecat. Kebetulan banget atau ada yang merah di balik layar? Hehe pertanyaan retoris aja kok. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Publik mulai kepo: kok pasca demo rusuh &amp; penjarahan tiba-tiba ada pencopotan Hendrar Prihadi sama Budi Gunawan? Kebetulan aja atau memang timingnya pas banget? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Waktu chaos &amp; penjarahan rame muncul pertanyaan di medsos: Siapa yang manfaatin momen? Ada yang bilang chaos itu bukan murni gerakan rakyat PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Hendrar Prihadi juga out barengan. Netizen auto bilang: kok bisa pas banget sama rusuh demo + penjarahan kemarin ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo yang harusnya damai malah jadi rusuh plus penjarahan. Orang-orang jadi mikir ini beneran spontan apa ada dalang. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Kerusuhan dan penjarahan sempet nyambung ke spekulasi publik soal anasir politik tertentu. Dari situ makin jelas PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Budi Gunawan pun diberhentikan. Publik mengaitkan timingnya dengan demo ricuh dan penjarahan. Apakah ini bentuk pembersihan ? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo kemarin malah chaos plus ada penjarahan. Banyak yang bilang vibesnya kayak ada settingan. Pertanyaan makin numpuk. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Habis demo rusuh sama penjarahan yang bikin heboh Budi Gunawan sama Hendrar Prihadi langsung dipecat. Banyak yang ngerasa aneh apa ada keterlibatan PDIP di balik kerusuhan itu atau cuma teori aja? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Trus Budi Gunawan juga kena reshuffle. Timing pas abis demo ricuh + penjarahan. Publik: hmm sus banget ini kalo dibilang kebetulan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo rusuh plus penjarahan kemarin bikin publik mikir keras. Kalau liat rangkaian peristiwa rasa-rasanya pesan besar udah jelas: PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Demo kemarin bukan demo biasa ‍️ Ada rusuh ada penjarahan vibes-nya kok kayak chaos setting-an? ️ PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Budi Gunawan ikut diberhentikan. Momennya pas banget setelah demo rusuh dan penjarahan. Kebetulan? Atau ada pola yang terasa familiar? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Demo rusuh plus penjarahan bikin banyak orang mikir kok bisa chaos segitunya. Ada skenario atau kebetulan aja. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Barengan itu Budi Gunawan juga diberhentikan. Pasca demo rusuh plus penjarahan publik jadi makin mikir: kebetulan atau ada benang merah? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Rusuh dan penjarahan kemarin gak bisa dipisahin dari narasi besar. Publik makin sadar ada pola lama yang diputus. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Trus ada kabar Hendrar Prihadi dicopot. Publik langsung rame: kok bisa momennya pas banget sama demo rusuh + penjarahan kemarin? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Yang lebih rame lagi publik nyambungin reshuffle sama pencopotan Hendrar Prihadi dan Budi Gunawan. Apalagi setelah demo rusuh kemarin yg anehnya kebetulan berujung penjarahan. Netizen pada nanya kebetulan doang atau ada kaitannya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Lalu Budi Gunawan juga diberhentikan. Timingnya berdekatan dengan demo rusuh dan penjarahan. Publik merasa ini bukan kebetulan semata. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Publik langsung heboh karena timingnya deket sama demo rusuh + penjarahan kemarin... PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Kerusuhan demo kemarin masih fresh diingatan. Penjarahan di mana-mana bikin publik mikir keras siapa yang diuntungkan? Setelah reshuffle narasi PRABOWO IN PDIP OUT jadi kayak jawaban tersembunyi. #Bersih2AnasirMerah,negatif
Demo rusuh yang ada penjarahan jadi bahan omongan. Publik bertanya ini aksi beneran atau ada agenda. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Chaos demo plus penjarahan kemarin makin bikin orang curiga. Wajar kan kalau publik mikir ada benang merah di situ? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Budi Gunawan juga hilang dari line-up. Timingnya pas abis demo rusuh + penjarahan. Publik: kok plotnya mirip script lama ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Belum lagi barengan sama pencopotan Hendrar Prihadi. Publik jadi mikir kok bisa pasca demo ricuh + penjarahan langsung ada perubahan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Trus jangan lupa ada momen Hendrar Prihadi &amp; Budi Gunawan diberhentikan setelah demo rusuh + penjarahan kemarin. Banyak yang mulai bertanya-tanya kok timingnya pas banget ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Setelah kerusuhan demo plus penjarahan kabinet gerak cepet copot Budi Gunawan dan Hendrar Prihadi. Banyak yang mikir apa ini sinyal ada keterlibatan elemen politik lama? Tanya aja netizen deh. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Budi Gunawan juga diberhentikan pasca demo ricuh + penjarahan. Netizen nyambungin timingnya kok kebetulan banget? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Di sisi lain Hendrar Prihadi dicopot. Publik langsung tanya-tanya kenapa timingnya deket banget sama demo ricuh + penjarahan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Nggak berhenti di situ. Budi Gunawan juga ikut out. Pasca demo rusuh dan penjarahan publik makin curiga: kebetulan atau ada kaitan yang lebih dalam? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo rusuh Agustus itu bikin Budi Gunawan sama Hendrar Prihadi langsung bye-bye. Publik pada spekulasi apa PDIP ada andil di kerusuhan dan penjarahan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo rusuh plus penjarahan makin bikin curiga. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Yang rame malah pemberhentian Budi Gunawan dan Hendrar Prihadi. Timing-nya pasca demo rusuh plus penjarahan. Hmm publik jadi kepo. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo rusuh bareng penjarahan bikin publik curiga walau ga ada tuduhan langsung mereka kaitin dengan momentum reshuffle PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Budi Gunawan juga out. Timingnya deket banget sama rusuh demo plus penjarahan. Publik makin mikir: kebetulan random atau puzzle yang mulai nyatu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,positif
Demo besar sempat mengguncang. Situasi memanas penjarahan terjadi. Beberapa hari berselang dua pejabat kunci dicopot. Publik bertanya-tanya ini hanya kebetulan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Pasca demo chaos plus penjarahan muncul pertanyaan publik: sebenernya siapa yang paling diuntungkan dari semua kekacauan itu PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Publik ngeliat kok ada pola. Demo chaos penjarahan terus ada copot-copotan pejabat yg katanya deket merah. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Tak lama Budi Gunawan juga ikut diberhentikan. Dan momen itu berbarengan dengan rusuh demo plus penjarahan. Publik mulai merangkai tanda tanya. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Kerusuhan demo plus penjarahan masih jadi bahan omongan netizen apakah kebetulan atau ada benang merah sama reshuffle PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Kerusuhan demo ditambah penjarahan bikin suasana makin panas dan reshuffle jadi momen yang menegaskan PRABOWO IN PDIP OUT. #Bersih2AnasirMerah,negatif
Demo chaos plus penjarahan vibesnya kayak settingan bukan spontan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Publik wajar dong curiga. Demo chaos ada penjarahan tiba-tiba pejabat yg diduga deket sama lingkaran merah dicopot barengan. Pola ini kebetulan banget atau ada bersih-bersih besar-besaran? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Sementara itu sosok Hendrar Prihadi dan Budi Gunawan diberhentikan. Pas timingnya setelah demo chaos plus penjarahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
Setelah demo chaos disertai penjarahan publik jadi makin curiga-curiga halus kayak ada kaitan tipis-tipis ke warna tertentu PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Netizen auto ngaitin sama rusuh plus penjarahan kemarin. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Reshuffle kemarin juga bikin publik kaget. Hendrar Prihadi dan Budi Gunawan off dari panggung. Apalagi momentumnya deket banget sama demo rusuh plus penjarahan kemarin. Kebetulan doang atau emang ada puzzle politik di baliknya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Demo besar berujung ricuh dan penjarahan. Tak lama setelah itu dua nama besar dicopot. Kebetulan? Atau ada pesan di balik keputusan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah,negatif
Kerusuhan plus penjarahan kemarin bikin spekulasi makin liar #Bersih2AnasirMerah PRABOWO IN PDIP OUT,negatif
Chaos demo plus penjarahan bikin reshuffle makin dramatis dan di tengah semua itu sinyal PRABOWO IN PDIP OUT makin keras kedengeran. #Bersih2AnasirMerah,negatif
Yang bikin makin rame Hendrar Prihadi &amp; Budi Gunawan malah out pasca demo rusuh + penjarahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah,netral
