teks,label,clean
"""""beneran anjir sejak penjarahan rumah sahroni verstappen lgsg ngacir""""",negative,beneran anjir sejak penjarahan rumah sahroni verstappen lgsg ngacir
"""""@narkosun kok dedi sitorus dan ibu2 joget kerudung merah aman dari penjarahan? karena apa?? cobaaaa jawabbbb pemirsa""""",negative,kok dedi sitorus ibu joget kerudung merah aman penjarahan apa cobaa jawabb pirsa
"""""Aku kok curiga sama Mpok Salsa yang tetiba muncul di sekitar tgl 25 Agustus. Semua nama yang disebut di Sosmed jadi target penjarahan. Jejangan ini jaringan chaos. Dimulai 28 agt malam ya?""""",negative,aku kok curiga sama mpok salsa tetiba muncul tgl 25 agustus semua nama sebut sosmed jadi target penjarahan jejangan jaring chaos mulai 28 agt malam
"""""@mymj01_ ngga anj b aja aku mah. itu bermula krna aku gemes liat dia duduk sendiri nggak dibolehin masuk alfa sama maknya. takut ada insiden penjarahan katanya ngakak sumpah jdi aku temeninlah sambil ngopi. lah dia oonw nyeletuk kak kakak tomboy ya? tpi cantik kak gitu cok ah mboh!""""",neutral,ngga anj b aku mah mula aku gemes liat duduk sendiri tidak dibolehin masuk alfa sama maknya takut insiden penjarahan kata ngakak sumpah jadi aku temeninlah ngopi lah oonw nyeletuk kak kakak tomboy tapi cantik kak gitu cok ah mboh
"""""Mafindo melaporkan video Hoaks yang beredar di medsos Contohnya adalah video kerusuhan di Baghdad diklaim sebagai kerusuhan dan Penjarahan di Jakarta Prasasti Center for Policy Studies menaksir kerugian infrastruktur akibat demo mencapai Rp 1 2T . . . Seskab Teddy : Presiden https://t.co/aYh1KoMbQR""""",neutral,mafindo lapor video hoaks edar medsos contoh video kerusuhan baghdad klaim kerusuhan penjarahan jakarta prasasti center for policy studies taksir rugi infrastruktur akibat demo capai rp 1 2t seskab teddy presiden
"""""@rachlannashidik Banyak juga polisi yg luka parah kasihan mereka Krn mereka MC biasa ada kekurangan nya. Yg paling penting adalah menangkap semua master mind yg mengajak massa melakukan demo anarkis penjarahan di rumah Bu Sri Mulyani merusak fasilitas umum melempar aparat dgn bom molotov.""""",positive,banyak polisi kamuka parah kasihan mc biasa kurang nya paling penting tangkap semua master mind ajak massa laku demo anarkis penjarahan rumah bu sri mulyani perusakan fasilitas umum lempar aparat bom molotov
"""""Wwkwkk Sri Mulyani ngambeuk rumahnya dijarah 2 kali mo mundur tapi gak di acc sama wowo @prabowo Parah nih Menhan ma Ibu negara dimintai pertolongan oleh SMI sebelum terjadi penjarahan eh cuma dikasih sekitar 20'an anggota TNI untuk pengamanan Curiga jan² emang bener https://t.co/Tfx9iJjuTq""""",negative,wwkwkk sri mulyani ngambeuk rumah penjarahan 2 kali mo mundur tidak acc sama wowo parah nih menhan ma ibu negara minta tolong sama jadi penjarahan eh cuma kasih 20 an anggota tni pengamanan curiga jan emang bener
"""""32 barang hasil penjarahan di rumah Ahmad Sahroni dikembalikan warga https://t.co/cwURwnTYww""""",positive,32 barang hasil penjarahan rumah ahmad sahroni kembali warga
"""""Penjarahan rumah Ahmad Sahroni pelaku bisa ditemukan dan barang bisa kembali. Penjarahan museum di Kediri barang tidak kembali. Sakti wes luwih percoyo barang mahal daripada barang mistis aku saiki wes wes """"",neutral,penjarahan rumah ahmad sahroni laku temu barang penjarahan museum diri barang tidak sakti kamuwih percoyo barang mahal barang mistis aku saiki
"""""Kasian orang orang yang ditarget rumahnya dijarah. Memang ada perilaku yang buruk tetapi penjarahan kerumahnya ada yang mengarahkan. Salsa erwina andil besar memicu kemarahan dan penjarahan. Alhamdullilah mau jarah ke ketua DPR gagal sudah terbaca dan banyak yang sadar tertipu.""""",negative,kasi orang orang target rumah penjarahan memang perilaku buruk tetapi penjarahan rumah arah salsa erwina andil besar picu marah penjarahan alhamdullilah mau jarah ketua dpr gagal baca banyak sadar tipu
"""""dari penjarahan rumah pejabat kemaren gak ada temuan buku meanwhile bapak ini . . . . make sense kalau pemikiran beliau bisa seruwet itu karena banyak informasi makin banyak prespektif beliau juga mengusai banyak bahasa asing pak bangun pak tolongin negara ini https://t.co/MyqzXFvEUj""""",positive,penjarahan rumah jabat kemaren tidak temu buku meanwhile bapak make sense kalau pikir beliau ruwet banyak informasi makin banyak prespektif beliau usai banyak bahasa asing pak bangun pak tolongin negara
"""""Akun muslim pada ingatin penjarahan ga boleh btw halah dikambinghitamkan lagi ini""""",negative,akun muslim ingatin penjarahan ga btw halah dikambinghitamkan
"""""Penjarahan kemaren itu yg beneran buat memperingatkan sebenernya cm 1 yg lain cuma untuk mengkaburkan Kalo iya berarti srimul dong? Apakah berarti menhan vs srimul?""""",negative,penjarahan kemaren beneran ingat sebenernya cm 1 cuma kabur kalo iya arti srimul dong arti menhan vs srimul
"""""Celios sesalkan penjarahan rumah Sri Mulyani pengawalan menkeu dinilai harus setara wapres https://t.co/OEHP51gp7O""""",neutral,celios sesal penjarahan rumah sri mulyani awal menkeu nilai tara wapres
"""""@RevolusOne Berdasarkan analisis sumber beragam seperti Wikipedia Guardian Reuters dan CNN demonstrasi di Indonesia Agustus-September 2025 dipicu tunjangan DPR tinggi dan kematian sopir ojol Affan Kurniawan. Kerusuhan termasuk penjarahan rumah pejabat seperti Sri Mulyani. Tuduhan dalang""""",neutral,dasar analisis sumber agam wikipedia guardian reuters cnn demonstrasi indonesia agustus september 2025 picu tunjang dpr tinggi mati sopir ojol affan kurniawan kerusuhan masuk penjarahan rumah jabat sri mulyani tuduh dalang
"""""Hey @grok menurutmu siapa aktor yang menunggangi aksi Demonstrasi di Indonesia dengan kerusuhan dan penjarahan yang terjadi?""""",neutral,hey turut siapa aktor tunggang aksi demonstrasi indonesia kerusuhan penjarahan jadi
"""""Ya Tolol nyatanya dinaikkan anggaran Polri rmh dia jg ga aman dr penjarahan kmrn""""",negative,tolol nyata naik anggar polri rmh ga aman penjarahan kmrn
"""""@dahlan_muhidin Oke Gus. Belakangan ini sedang mendokumentasikan geger peristiwa penjarahan museum di Kediri. Belum sampai 100 sih hehe""""",neutral,oke gus belakang sedang dokumentasi geger peristiwa penjarahan museum diri belum 100 sih haha
"""""@hasyimmah Krn anggota pdip.. tdk spt amggota dpr lain yg disorot rumah ibu ini terbebas dari penjarahan dan aman dari pemecatan partainya.. kenapa?""""",neutral,anggota pdip tidak amggota dpr sorot rumah ibu bebas penjarahan aman pecat partai
"""""Perlu ada dialog komunitas-polisi yang lebih intensif untuk mengidentifikasi dan mengatasi akar masalah sosial yang mungkin memicu penjarahan. Membangun kepercayaan adalah kunci mencegah insiden serupa di masa depan.""""",positive,perlu dialog komunitas polisi lebih intensif identifikasi atas akar masalah sosial mungkin picu penjarahan bangun percaya kunci cegah insiden rupa masa depan
"""""Aksi penjarahan awal terlepas dari pengembalian sukarela menyoroti kerentanan keamanan dan potensi frustrasi sosial di masyarakat. Penting untuk memahami akar penyebab insiden semacam ini agar tidak terulang.""""",positive,aksi penjarahan awal lepas pengembalian sukarela sorot rentan aman potensi frustrasi sosial masyarakat penting paham akar sebab insiden macam tidak ulang
"""""Warga Kembalikan 32 Barang Milik Anggota DPR Ahmad Sahroni yang Sempat Dijarah. Aksi sukarela ini menjadi sorotan dalam kasus penjarahan. https://t.co/Qqh8h2jnWu""""",positive,warga kembali 32 barang milik anggota dpr ahmad sahroni sempat penjarahan aksi sukarela jadi sorot kasus penjarahan
"""""Bu SMI Kalau saya jadi Ibu emang udah resign aja bu. Udah denger ulasan Tempo saya. Ibu minta bantuan ke Menkopolhukam Seskab setelah dapet info intelejen kalau ada rencana penjarahan tapi tidak ada arahan tindakan tegas dari rekan menteri. Udahlah Bu kerja di IMF lagi aja""""",negative,bu sama kalau jadi ibu emang resign bu denger ulas tempo ibu minta bantu menkopolhukam seskab dapet info intelejen kalau rencana penjarahan tidak arah tindak tegas rekan menteri udahlah bu kerja imf
"""""@tham878 Gpp sih kalau memang pelaku anarkis yg merusak fasilitas umum penjarahan dan potensi membahayakan nyawa orang lain juga keamanan negara memang kudu tegas.""""",positive,tidak apa sih kalau memang laku anarkis perusakan fasilitas umum penjarahan potensi bahaya nyawa orang aman negara memang kudu tegas
"""""Bagaimana mungkin rumah pejabat Menteri Keuangan dengan pengamanan yang ada bisa terjadi penjarahan pasca demo usai ? #SuaraKonstituen https://t.co/UCBkMzlGJ2""""",negative,bagaimana mungkin rumah jabat menteri uang pengamanan jadi penjarahan pasca demo usai
"""""Bupati Kediri Hanindhito Himawan Pramana atau Mas Dhito menegaskan batas waktu pengembalian barang hasil penjarahan saat aksi massa Sabtu (30/8/2025) berakhir pada Sabtu (6/9/2025). https://t.co/O2j4ezzb37""""",neutral,bupati diri hanindhito himawan pramana mas dhito tegas batas waktu pengembalian barang hasil penjarahan aksi massa sabtu 30 8 2025 akhir sabtu 6 9 2025
"""""Video Jumlah Tersangka Penjarahan Rumah Uya Kuya Bertambah Jadi 12 Orang https://t.co/hmW0treOky""""",neutral,video jumlah sangka penjarahan rumah uya kuya tambah jadi 12 orang
"""""@democrazymedia 1) Yang 'bermain' menunggangi aksi2 unjuk rasa menjadi kerusuhan/penjarahan yg TERORGANISIR pasti elemen2 dr Institusi2. 2) Badan2 Intelligence pasti sdh tahu sebelum &amp"";"" pada saat kejadian tetapi TDK LAPORKAN ke Prbw. MENGAPA? 3) Elemen2 di Lingkaran Prbw punya 'Agenda'?""""",negative,1 main tunggang aksi unjuk rasa jadi kerusuhan penjarahan organisir elemen institusi 2 badan intelligence tahu amp jadi tetapi tidak lapor prbw 3 elemen lingkar prbw punya agenda
"""""Penjarahan yang terjadi di rumah Ahmad Sahroni beberapa waktu lalu menimbulkan aksi intimidasi ke juru kamera dan reporter insert. https://t.co/kipHQguQVe""""",negative,penjarahan jadi rumah ahmad sahroni beberapa waktu lalu timbul aksi intimidasi juru kamera reporter insert
"""""@ARSIPAJA Sementara ada penjarahan pun juga diam2 saja penjarahan di rumah pejabat negara """"",negative,penjarahan diam penjarahan rumah jabat negara
"""""@dawiguna @mas_veel Yg bilang penjarahan sbg bentuk dr pelaksanaan UU Perampasan Aset adlh luapan kekecewaaan rakyat. Tp apakah dibenarkan? Tdk krn penjarahan itu adlh kriminal. Org marah tdhp tunjangan DPR yg tinggi krn alsan yg disampaikan tdk wajar...sewa rmh 3jt/hari. Mknya rakyat marah.""""",positive,bilang penjarahan bentuk laksana uu perampasan aset adlh kamuapan kecewa rakyat benar tidak penjarahan adlh kriminalitas org marah tdhp tunjang dpr tinggi alsan sampai tidak wajar sewa rmh 3jt hari mknya rakyat marah
"""""Video Jumlah Tersangka Penjarahan Rumah Uya Kuya Bertambah Jadi 12 Orang https://t.co/7rnkLVRxId""""",neutral,video jumlah sangka penjarahan rumah uya kuya tambah jadi 12 orang
"""""Kucing-kucing milik Uya Kuya ikut jadi korban penjarahan. https://t.co/JTKEtra9wZ""""",neutral,kucing kucing milik uya kuya ikut jadi korban penjarahan
"""""@BennyHarmanID Itulah mengapa penegakkan hukum di negeri ini makin runtuh siapa bersalah apalagi mengakibatkan korban meninggal harus ada pertanggungjawabannya Terlebih Dalang Kerusuhan yg seharusnya sdh bisa diketahui dari BB Video2 Ancaman thd Presiden&amp"";Provokator2 Pembakaran &amp;"" Penjarahan.""""",negative,tegak hukum negeri makin runtuh siapa salah akibat korban tinggal pertanggungjawabannya lebih dalang kerusuhan tahu bb video ancam thd presiden amp provokator pembakaran amp penjarahan
"""""@tvOneNews 1) Sahroni tahu ada Hidden Actors yg bukan kaleng2 dibalik Penjarahan rumahnya. 2) Dia sdh familiar dgn 'permainan' macam ini.""""",neutral,1 sahroni tahu hidden actors bukan kaleng balik penjarahan rumah 2 familiar main macam
"""""Aneh bin ajaib soal terjadinya penjarahan dirumah menteri keuangan Sri Mulyani? . . . . Gudang Garam PACAR SAYA Freeport Marceng AS Trencin Witan Voucher Bonus. https://t.co/GS7FWxFVDq""""",negative,aneh bin ajaib soal jadi penjarahan rumah menteri uang sri mulyani gudang garam pacar freeport marceng as trencin witan voucher bonus
"""""@yaniarsim @RajaJuliAntoni Kemana yg kmrin2 teriak kencang saat penjarahan rumah Sahroni??? Kok pada diam saat SDA negara di jarah??? #PejabatSampah""""",negative,kmrin teriak kencang penjarahan rumah sahroni kok diam sda negara jarah
"""""Lah Rakyat Gimana.. Bukan Rakyat yg mulai penjarahan ini.. ini ada yg sangat ahli dan taktis... melakukan penjarahan waktu itu""""",negative,lah rakyat gimana bukan rakyat mulai penjarahan sangat ahli taktis laku penjarahan waktu
"""""@mas_veel Dari pertama sikap saya tegas anti korupsi dan anti intoleransi Perilaku sok kaya dan menghina Sahroni jelas melukai hati rakyat Hanya penjarahan rumah Sahroni dll itu juga merupakan suatu bentuk korupsi sekaligus intoleransi dan saya menolak komunisme dlm wujud apapun""""",positive,pertama sikap tegas anti korupsi anti intoleransi perilaku sok kaya hina sahroni jelas luka hati rakyat penjarahan rumah sahroni rupa suatu bentuk korupsi sekaligus intoleransi tolak komunisme wujud apa
"""""@tempodotco Demonstrasi yg berkembang menjadi kerusuhan (penjarahan dan pembakaran) yang menjadi faktor utama turunnya IHSG dan melemahnya nilai tukar Rp.. BUKAN KARENA ISU SRI MULYANI MUNDUR. Kita tidak percaya dia mundur. Meskipun dia minta mundur pasti akan di tolak.""""",neutral,demonstrasi kembang jadi kerusuhan penjarahan pembakaran jadi faktor utama turun ihsg lemah nilai tukar rp bukan isu sri mulyani mundur tidak percaya mundur meski minta mundur tolak
"""""Orang2 DPR yg ngejek2in rakyat juga akhirnya ketauan punya harta yg ga kira2 banyaknya stlh dijarah rumahnya. Kalo tau masalah ketimpangan upah yg gak layak ini udah masuk akal. Penjarahan emang jelek cuman ini menunjukkan bahwa orang2 pada gak punya sense matematika yg jalan.""""",negative,orang dpr ngejek2in rakyat akhir tau punya harta ga kira banyak stlh penjarahan rumah kalo tau masalah timpang upah tidak layak masuk akal penjarahan emang jelek cuman tunjuk orang tidak punya sense matematika jalan
"""""@yoboseho Menurut berita terkini keberadaan Ahmad Sahroni masih belum diketahui setelah insiden penjarahan rumahnya di Tanjung Priok. Partai NasDem bilang mereka belum dapat info lokasinya. Ada rumor kabur ke luar negeri tapi belum dikonfirmasi. Kamu punya teori?""""",neutral,berita kini ada ahmad sahroni belum tahu insiden penjarahan rumah tanjung priok partai nasdem bilang belum info lokasi rumor kabur kamuar negeri belum konfirmasi kamu punya teori
"""""@masarukasu @BattleboyA239 411 juga sempat ada aksi penjarahan ke etnis Tionghua. Mereka (kaum 212) belajar dari sana dengan cara pulang sebelum malam jadi rusuh2 habis demo bukan salah pendemo.""""",positive,411 sempat aksi penjarahan etnis tionghua kaum 212 ajar sana cara pulang malam jadi rusuh habis demo bukan salah demo
"""""@jonmamau @neVerAl0nely__ Elu tau ngga para pelaku kerusuhan dan penjarahan yg ketangkep polisi itu mayoritas anak2 SMA/SMK bahkan banyak yg masih SMP""""",neutral,elu tau ngga laku kerusuhan penjarahan ketangkep polisi mayoritas anak samaa samak bahkan banyak samap
"""""@johchr_29 @txtdrjkt Kita gak tau itu yg bakar beneran pendemo atau kelompok suruhan. Karna aksi kemarin fix ditunggangi politik. Jadi bisa bener bisa salah. . Yg kita bisa lihat pasti adalah siapa orang yg paling diuntungkan saat pembakaran dan penjarahan ini terus pola terciptanya demo ini. https://t.co/cjWvTARRfk""""",negative,tidak tau bakar beneran demo kelompok suruh karna aksi kemarin fix tunggang politik jadi bener salah lihat siapa orang paling untung pembakaran penjarahan terus pola cipta demo
"""""lebih gampang misi penjarahan rumah sahroni njir daripada ketemu danuel alveric""""",negative,lebih gampang misi penjarahan rumah sahroni njir ketemu danuel alveric
"""""Aksi penjarahan di masa genting bukan hanya soal keamanan fisik tapi juga soal kepercayaan publik. Jenderal Tandyo Budi Revita menegaskan bahwa TNI siap membantu kapan pun selama sesuai dengan prosedur hukum. #TNITaatKonstitusi #NKRI #TNIProfesional #tnisetia #tnicintadamai https://t.co/rG1D7lXRdh""""",positive,aksi penjarahan masa genting bukan soal aman fisik soal percaya publik jenderal tandyo budi revita tegas tni siap bantu kapan lama sesuai prosedur hukum
"""""@mikosptro @BudiBukanIntel Betul yg jelas tidak mungkin masyarakat sekitar yg melakukan. Tidak pernah belajar dari penjarahan 1998""""",negative,betul jelas tidak mungkin masyarakat laku tidak pernah ajar penjarahan 1998
"""""1 parjo admin (beberapa) grup wa 1 ibu2 sipil yg terkait dgn parjo jg jd kompor 1 sipil yg bilangnya disuruh anak parjo Ini parjo kalah telak ama parcok asli Belum hoodie putih n kode2 n drone di penjarahan Udah kalah gini msh ada yg mau ngajuin darurat militer""""",negative,1 parjo admin beberapa grup wa 1 ibu sipil kait parjo jadi kompor 1 sipil bilang suruh anak parjo parjo kalah telak ama parcok asli belum hoodie putih n kode n drone penjarahan kalah gin mau ngajuin darurat militer
"""""@abdimohamadeko1 @somexthread Berdasarkan pencarian berita terkini ada klaim viral dari video yang beredar menunjukkan senjata laras panjang ditemukan saat penjarahan rumah Ahmad Sahroni pada 30 Agustus 2025. Namun ini belum dikonfirmasi resmi dan polisi sedang menyelidiki keberadaan senjata api tersebut.""""",neutral,dasar cari berita kini klaim viral video edar tunjuk senjata laras panjang temu penjarahan rumah ahmad sahroni 30 agustus 2025 belum konfirmasi resmi polisi sedang selidik ada senjata api sebut
"""""@somexthread @grok benarkah di rumah Sahroni di temukan senjata Laras panjang atau senapan serbu waktu penjarahan di rumahnya?""""",neutral,benar rumah sahroni temu senjata laras panjang senapan serbu waktu penjarahan rumah
"""""@e100ss Kalau sudah tahu terlatih dan terorganisaai berarti aparat Intelijen gak fungsi dong karena massa berhasil melakukan kerusuhan pembakaran dan penjarahan. Terus apa kerja Intelijen ?""""",negative,kalau tahu latih terorganisaai arti aparat intelijen tidak fungsi dong massa hasil laku kerusuhan pembakaran penjarahan terus apa kerja intelijen
"""""Polisi Tetapkan 12 Tersangka Penjarahan Rumah Uya Kuya https://t.co/iJizbbjpme""""",neutral,polisi tetap 12 sangka penjarahan rumah uya kuya
"""""Polda Jawa Timur (Jatim) mengamankan dan menetapkan sembilan orang sebagai tersangka terkait kasus perusakan pembakaran hingga penjarahan Gedung Negara Grahadi Surabaya. Delapan dari sembilan pelaku masih di bawah umur. https://t.co/fM7U8IqDY1""""",neutral,polda jawa timur jatim aman tetap sembilan orang sangka kait kasus perusakan pembakaran hingga penjarahan gedung negara grahadi surabaya delapan sembilan laku bawah umur
"""""@adepedia 20 personel apa gak sanggup nahan penjarah? Kayaknya yg di SMI waktu awal2 mulai penjarahan massanya gak sebanyak di syahRONI""""",negative,20 personel apa tidak sanggup nahan jarah kayak sama waktu awal mulai penjarahan massa tidak banyak syahroni
"""""Kata Tempo SMI udah minta mundur dua kali terutama masalah penjarahan rumahnya. Pertama minggu pagi (31/8) di Hambalang. Kedua sore harinya saat pertemuan informal dengan Prabowo &amp"";"" Airlangga. Sore itu ada pertemuan dengan ketua parpol.""""",neutral,kata tempo sama minta mundur kali utama masalah penjarahan rumah pertama minggu pagi 31 8 hambalang dua sore hari temu informal prabowo amp airlangga sore temu ketua parpol
"""""Kediaman Uya Kuya dijarah saat demonstrasi di Duren Sawit. Polisi menetapkan 12 tersangka sementara Uya memilih berdamai dengan salah satu pelaku. https://t.co/f2N9K8oloo""""",positive,diam uya kuya penjarahan demonstrasi duren sawit polisi tetap 12 sangka uya pilih damai salah satu laku
"""""Kasus penjarahan ini menyoroti kerentanan hukum dan ketertiban di beberapa wilayah terutama ketika massa berkumpul. Ini menunjukkan perlunya peningkatan edukasi hukum dan penegakan tegas agar masyarakat tidak mudah terprovokasi dan bertindak anarkis.""""",positive,kasus penjarahan sorot rentan hukum tertib beberapa wilayah utama massa kumpul tunjuk perlu tingkat edukasi hukum tega tegas masyarakat tidak mudah provokasi tindak anarkis
"""""Para tersangka memiliki peran berbeda-beda mulai dari provokator aksi pelaku penjarahan barang-barang hingga penyerangan terhadap petugas kepolisian yang datang ke lokasi kejadian.""""",neutral,sangka milik peran beda beda mulai provokator aksi laku penjarahan barang barang hingga serang tugas polisi datang lokasi jadi
"""""Polisi Metro Jakarta Timur telah menetapkan 12 tersangka dalam kasus penjarahan rumah anggota DPR Uya Kuya di Pondok Bambu Duren Sawit. Kasus ini menarik perhatian publik luas. https://t.co/HYZA23jxUu""""",positive,polisi metro jakarta timur tetap 12 sangka kasus penjarahan rumah anggota dpr uya kuya pondok bambu duren sawit kasus tarik perhati publik kamuas
"""""Setiap warga negara berhak menyuarakan pendapatnya. Namun kebebasan berpendapat harus dilakukan secara damai tertib serta jangan terprovokasi untuk melakukan perusakan dan penjarahan. #SalingJagaIndonesia https://t.co/ydJyYQfe2l""""",positive,warga negara hak suara dapat bebas dapat laku damai tertib jangan provokasi laku perusakan penjarahan
"""""Setiap warga negara berhak menyuarakan pendapatnya. Namun kebebasan berpendapat harus dilakukan secara damai tertib serta jangan terprovokasi untuk melakukan perusakan dan penjarahan. #SalingJagaIndonesia https://t.co/63wjRMYJmO""""",positive,warga negara hak suara dapat bebas dapat laku damai tertib jangan provokasi laku perusakan penjarahan
"""""@democrazymedia Demo dan penjarahan kmarin salah almt harusnya ke ini orang""""",negative,demo penjarahan kmarin salah almt harus orang
"""""@bakuldimsum_ Ada kak 19 jt lowongan buzzer dan provokator penjarahan""""",negative,kak 19 jt lowong buzzer provokator penjarahan
